"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BLZF1",0.000617362244295564,0.506565594598343,0.161,0.113,1,6,"BLZF1"
"SERPINB51",0.000952656607687237,0.505780042385443,0.116,0.074,1,6,"SERPINB5"
"ARNTL21",7.9724355558882e-08,0.505250064004144,0.144,0.075,0.00169318586335954,6,"ARNTL2"
"TRIM151",0.00041020866938593,0.505207996810025,0.133,0.087,1,6,"TRIM15"
"NFATC4",8.40872442993854e-16,0.504468063589712,0.13,0.043,1.78584489443035e-11,6,"NFATC4"
"RHOD1",0.00126837379950167,0.504376319287098,0.223,0.171,1,6,"RHOD"
"FCHO2",1.77896928951661e-05,0.5042030359511,0.158,0.098,0.377817497707538,6,"FCHO2"
"NRP1",7.17190095968999e-07,0.502002140550292,0.195,0.119,0.0152316832581896,6,"NRP1"
"MON2",2.59531940286579e-05,0.501964092315508,0.229,0.157,0.551193934780637,6,"MON2"
"EGLN11",0.00440858177963453,0.501371967026276,0.218,0.178,1,6,"EGLN1"
"NABP11",0.000140347518362797,0.500849503999671,0.192,0.134,1,6,"NABP1"
"OXR1",0.00043605102282019,0.500274769037102,0.192,0.138,1,6,"OXR1"
"PRKCSH1",0.0017606667124664,0.500148141969957,0.336,0.295,1,6,"PRKCSH"
"ANXA8L11",0.00217582615478289,0.498971556649299,0.121,0.083,1,6,"ANXA8L1"
"DAB2IP1",2.64420738871839e-06,0.498852569234683,0.144,0.082,0.0561576765216012,6,"DAB2IP"
"HEATR1",1.16330961387751e-05,0.498789899679194,0.167,0.103,0.247063695795306,6,"HEATR1"
"AMIGO21",1.7568940581726e-08,0.497698957413061,0.184,0.102,0.000373129160074697,6,"AMIGO2"
"PGM2L11",0.00770477042272859,0.497595716876465,0.206,0.169,1,6,"PGM2L1"
"ITGA51",0.000554893487851839,0.496500846886762,0.189,0.137,1,6,"ITGA5"
"MFI21",2.96474693353108e-14,0.495799581416022,0.181,0.078,6.29652953743331e-10,6,"MFI2"
"SEMA3C",3.36944426467754e-05,0.49486094028368,0.107,0.059,0.715602572932217,6,"SEMA3C"
"MYO5B",2.44783772152178e-09,0.492920946101015,0.121,0.053,5.19871775296795e-05,6,"MYO5B"
"YOD1",3.19842229253754e-08,0.492124268368874,0.105,0.045,0.000679280926489122,6,"YOD1"
"KIAA0319L1",0.000134787521629711,0.49202460875169,0.198,0.141,1,6,"KIAA0319L"
"CYR611",0.000864726368993126,0.491876263105467,0.169,0.122,1,6,"CYR61"
"ARHGAP51",0.000242519282158639,0.491645203570791,0.223,0.168,1,6,"ARHGAP5"
"LCOR",6.98555696128339e-05,0.49163811867437,0.169,0.11,1,6,"LCOR"
"RASEF1",8.57183561929651e-05,0.491266125449289,0.127,0.077,1,6,"RASEF"
"TGOLN21",0.00196047291881579,0.491172595839233,0.367,0.332,1,6,"TGOLN2"
"DLG1",8.99556299673021e-09,0.490710948173095,0.184,0.1,0.000191047766924556,6,"DLG1"
"PCYOX1",0.00131707503250421,0.487899035952521,0.161,0.115,1,6,"PCYOX1"
"SEMA4B1",1.94696516911828e-05,0.487792926459769,0.172,0.11,0.41349646261734,6,"SEMA4B"
"HERC2",5.84363214932622e-05,0.48769441836281,0.24,0.174,1,6,"HERC2"
"ADAM281",0.000346905002660045,0.487639170950115,0.169,0.118,1,6,"ADAM28"
"MADD1",0.00124185308076965,0.487371582351232,0.218,0.171,1,6,"MADD"
"TRIM371",0.0055802658728668,0.486516195800592,0.158,0.12,1,6,"TRIM37"
"ITCH",0.00377863694976084,0.486253837757463,0.164,0.121,1,6,"ITCH"
"ZNF281",0.000143794941316606,0.485931127511549,0.186,0.128,1,6,"ZNF281"
"PVR",1.34517492425027e-06,0.485711831226602,0.138,0.077,0.0285688250412273,6,"PVR"
"HOXB61",2.800296922401e-06,0.485461826332076,0.138,0.078,0.0594727060379523,6,"HOXB6"
"CAMSAP21",1.16892122818015e-05,0.48539106707137,0.181,0.12,0.248255490440901,6,"CAMSAP2"
"LRP12",6.02521558395291e-08,0.484897866442033,0.215,0.13,0.00127963528571992,6,"LRP1"
"MT-CO22",5.16022367940584e-08,0.484835227599683,0.915,0.991,0.00109592830503221,6,"MT-CO2"
"FAF2",1.96045696470115e-05,0.484701179174969,0.237,0.168,0.41636185016323,6,"FAF2"
"LRPPRC",0.00269354396095456,0.484518448467636,0.223,0.176,1,6,"LRPPRC"
"SLC39A10",4.21097338904142e-05,0.483972033249517,0.212,0.147,0.894326528364616,6,"SLC39A10"
"RP11-357H14.171",4.06804277728062e-05,0.483779793789069,0.186,0.127,0.863970925038859,6,"RP11-357H14.17"
"FUCA11",0.000754163151905895,0.482028892737872,0.22,0.17,1,6,"FUCA1"
"NUP160",0.00296309219220726,0.481432149784462,0.172,0.129,1,6,"NUP160"
"CYTH2",2.09081155231055e-05,0.481070821670377,0.201,0.136,0.444046557479715,6,"CYTH2"
"CCDC64B1",1.34555069049564e-06,0.48083913907624,0.133,0.072,0.0285768055647463,6,"CCDC64B"
