,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SEMA6A,3.1421271110309E-142,0.550343910350265,0.268,0.011,6.74897482178327E-138,15,SEMA6A
SAT22,2.19936415232198E-16,0.5501605901984,0.528,0.241,4.72401426277238E-12,15,SAT2
GINM11,6.07374587762336E-25,0.550004463351431,0.465,0.15,1.30457987705472E-20,15,GINM1
TRAM1,1.32599880462931E-13,0.549213901782397,0.648,0.366,2.8481128324633E-09,15,TRAM1
FIS11,3.06531919146767E-09,0.549140108242493,0.704,0.467,6.58399909135341E-05,15,FIS1
SUCLG1,8.36724364350581E-13,0.548829128340687,0.521,0.265,1.79720026218861E-08,15,SUCLG1
PARVA,1.35477213520222E-34,0.548186102148493,0.303,0.059,2.90991506920085E-30,15,PARVA
USMG54,1.25961814399771E-08,0.545037937047633,0.803,0.615,0.000270553381149267,15,USMG5
PLD1,1.59105885480602E-45,0.543056520057131,0.345,0.058,3.41743531423784E-41,15,PLD1
STXBP6,4.06579561074904E-33,0.542111643655605,0.289,0.056,8.73292239232787E-29,15,STXBP6
KLK113,0.000450632868824733,0.540051499242459,0.197,0.108,1,15,KLK11
RNASE43,1.0570608611931E-12,0.539295466962225,0.289,0.108,2.27046102375667E-08,15,RNASE4
BNIP31,3.23604987016842E-35,0.538901578371285,0.451,0.106,6.95071151613474E-31,15,BNIP3
ATP5H2,6.6486953491803E-10,0.538008810009793,0.732,0.498,1.42807327405044E-05,15,ATP5H
AK31,1.69084055287337E-16,0.537359443837216,0.373,0.136,3.63175642351671E-12,15,AK3
GOLM15,8.29559898451107E-13,0.537038923975268,0.549,0.268,1.78181170588313E-08,15,GOLM1
ATP6V0E24,2.35400296008036E-24,0.536391203269375,0.345,0.089,5.05616295795661E-20,15,ATP6V0E2
RAB11A2,4.22099151144165E-08,0.536388907996969,0.57,0.355,0.000906626766742551,15,RAB11A
ESD1,2.00639757837487E-08,0.535682706841028,0.472,0.256,0.000430954135859138,15,ESD
P4HB2,6.83756744479864E-11,0.535173046059268,0.81,0.521,1.4686411114683E-06,15,P4HB
USH1C2,3.09486879514728E-22,0.534386743299978,0.31,0.085,6.64746868509684E-18,15,USH1C
CPE2,1.69451668775517E-12,0.532978635278939,0.204,0.057,3.63965239362933E-08,15,CPE
SRP144,6.02032537731976E-11,0.53283855453859,0.852,0.733,1.29310568779451E-06,15,SRP14
CADM11,1.69760445846925E-30,0.532479783646704,0.225,0.037,3.6462846163461E-26,15,CADM1
RAB4A,4.15321692760276E-14,0.531827245907493,0.5,0.234,8.92069463879796E-10,15,RAB4A
JUP5,3.44117920485922E-12,0.530395861133528,0.465,0.213,7.39130881411711E-08,15,JUP
DDAH11,8.17372938411625E-33,0.530159384041054,0.324,0.069,1.75563533441433E-28,15,DDAH1
MRPL18,7.31987003107128E-15,0.528627035414684,0.528,0.25,1.5722348839738E-10,15,MRPL18
PFN2,6.1854262066591E-21,0.527205839234221,0.246,0.059,1.32856769492831E-16,15,PFN2
CLTA3,9.76959976572726E-09,0.526932654963619,0.697,0.464,0.000209841233368056,15,CLTA
ISCU5,9.58263676910254E-12,0.526544057659983,0.641,0.364,2.05825455163553E-07,15,ISCU
NDUFV22,1.32635182596025E-09,0.525566545108434,0.676,0.45,2.84887108698003E-05,15,NDUFV2
TAX1BP31,2.24820729620321E-26,0.52528051574895,0.338,0.086,4.82892445151487E-22,15,TAX1BP3
APOA1BP1,8.29236006197947E-08,0.525007600445874,0.507,0.294,0.00178111601771257,15,APOA1BP
NDUFB12,9.43283628359302E-10,0.524458860569261,0.634,0.396,2.02607890535295E-05,15,NDUFB1
MPC1,1.21574431375895E-13,0.524232783260734,0.415,0.181,2.61129721152286E-09,15,MPC1
TOM1L1,2.05092575874396E-19,0.52397355144325,0.275,0.076,4.40518343720615E-15,15,TOM1L1
SGCB,4.48795312216288E-23,0.523903290275986,0.289,0.072,9.63967451109366E-19,15,SGCB
EID14,6.46269334451955E-12,0.523240456623513,0.69,0.424,1.38812190346935E-07,15,EID1
DNPH12,3.32060988110759E-16,0.520311482343361,0.592,0.277,7.13233796363099E-12,15,DNPH1
PSMC51,1.86931198209422E-11,0.519210656822251,0.57,0.306,4.01509520634017E-07,15,PSMC5
AKR1C1,1.6426840927838E-74,0.518506481658921,0.275,0.024,3.52832116289033E-70,15,AKR1C1
METTL7A2,1.48686403628877E-25,0.516456489891418,0.261,0.055,3.19363526354465E-21,15,METTL7A
PCBD15,1.49112445380348E-11,0.515529239517766,0.613,0.338,3.20278621432449E-07,15,PCBD1
IL6ST2,4.92738592074025E-12,0.515498559833358,0.458,0.212,1.0583532219158E-07,15,IL6ST
HADH,5.30956713103345E-13,0.515438250326989,0.303,0.115,1.14044192407467E-08,15,HADH
NTN42,6.022648342299E-18,0.514161139084624,0.268,0.075,1.2936046374424E-13,15,NTN4
UQCRH2,1.04142859888405E-07,0.513315491147113,0.824,0.593,0.00223688448754306,15,UQCRH
MRPL411,2.46732561261995E-09,0.512834887480415,0.613,0.378,5.29956868334638E-05,15,MRPL41
AP1M25,4.83007061926668E-12,0.511345027998351,0.352,0.146,1.03745086831229E-07,15,AP1M2
UQCRC13,2.56306537022132E-09,0.510039217750563,0.613,0.375,5.50520810869836E-05,15,UQCRC1
ROMO14,3.2114490898887E-09,0.509570305622494,0.697,0.477,6.89787150017193E-05,15,ROMO1
DSG25,3.07904338233645E-18,0.508892747320446,0.479,0.189,6.61347728092046E-14,15,DSG2
FGFR3,1.06952134984937E-128,0.508615887175173,0.246,0.011,2.29722490734146E-124,15,FGFR3
LMNA5,3.61079925316981E-14,0.507368182133496,0.634,0.316,7.75563571588343E-10,15,LMNA
DZIP1,2.91185495430079E-281,0.507147173818108,0.19,0.001,6.25437325634267E-277,15,DZIP1
LIMCH12,3.31486372121688E-15,0.506471506324718,0.254,0.076,7.11999578680173E-11,15,LIMCH1
EFHC1,1.03044197026877E-28,0.50575665736645,0.246,0.046,2.2132863079403E-24,15,EFHC1
GNG54,5.76946233233123E-09,0.505628791625506,0.831,0.618,0.000123922281436142,15,GNG5
TMEM261,1.58488614761636E-19,0.505591019373175,0.479,0.186,3.40417695646518E-15,15,TMEM261
JAG11,6.22256126931819E-14,0.504277619070962,0.261,0.085,1.33654393503685E-09,15,JAG1
PHGDH,2.57731346825675E-35,0.50368987797323,0.232,0.035,5.53581159846867E-31,15,PHGDH
HSPB17,8.49150522117395E-13,0.503034623876488,0.852,0.564,1.82389040645595E-08,15,HSPB1
CPD4,4.52696224744653E-07,0.501401810434174,0.338,0.182,0.0097234622112904,15,CPD
NENF3,1.0796387089061E-08,0.501155861747665,0.648,0.408,0.000231895598285942,15,NENF
PDE3A,7.7526149155616E-116,0.500623092230917,0.232,0.011,1.66518415771348E-111,15,PDE3A
LMAN12,7.15908570702974E-17,0.500590263482028,0.62,0.285,1.53770001901292E-12,15,LMAN1
NR1H4,5.70097965055492E-126,0.499245847785044,0.162,0.004,1.22451341914269E-121,15,NR1H4
FUNDC21,1.15409310484955E-12,0.499085614028493,0.563,0.285,2.47887657990635E-08,15,FUNDC2
TSPAN61,5.00850570790345E-31,0.499050211731248,0.345,0.081,1.07577694100058E-26,15,TSPAN6
HES13,3.56739918812002E-16,0.498260872544023,0.373,0.137,7.66241671616299E-12,15,HES1
DDR15,5.99589482285016E-19,0.497947804164264,0.444,0.164,1.28785824899999E-14,15,DDR1
PLSCR4,5.77636382422032E-45,0.49722254855479,0.239,0.03,1.24070518580428E-40,15,PLSCR4
MYO101,3.84359163245391E-17,0.496401582662011,0.296,0.092,8.25565046734776E-13,15,MYO10
FKBP25,7.98104914619226E-13,0.494575196178335,0.725,0.435,1.71424954611064E-08,15,FKBP2
NFIC3,3.82582723204621E-17,0.494041061770558,0.5,0.211,8.21749431171205E-13,15,NFIC
TNS11,3.5700625142288E-31,0.493031433370183,0.289,0.057,7.66813727431204E-27,15,TNS1
SFTA24,2.01150312690218E-08,0.491654527694307,0.366,0.184,0.000432050756627319,15,SFTA2
PRDX11,5.92556494614715E-10,0.491544439703871,0.824,0.568,1.27275209478295E-05,15,PRDX1
PNKD2,9.98783876041684E-13,0.491127462214153,0.585,0.303,2.14528788734993E-08,15,PNKD
